split_mode,split_label,dataset_rows,model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
robot-held-out,Completely unseen robot,1000,MLP-24,baseline,Baseline,108,0.3071638432065788,0.04815766388235529,0.3965473333079501,0.22305447962941471,0.08262769089058529,163.0,2.622612526685133,0.10923740274544495,0.00021399642476656786
robot-held-out,Completely unseen robot,1000,MLP-24,context_10,+10 difficulty/reach,118,0.34158218319555567,0.057570642641301475,0.39950104254316315,0.23470225058997093,0.06009852300330956,163.0,1.2095888472587888,0.06179950000174964,0.000209708411906225
robot-held-out,Completely unseen robot,1000,MLP-24,context_20,+20 geometry/state,128,0.38336983326357177,0.08251898894745997,0.4268977968937296,0.26889443499672344,0.08732147614142799,163.0,1.2948219320833012,0.05736165966178911,0.00022297559674674025
robot-held-out,Completely unseen robot,1000,MLP-24,context_22,+22 full context,130,0.3714459795655547,0.06922364499752492,0.4341322837692394,0.26160749924914795,0.10166522039052417,163.0,1.39220228120975,0.07802806242155687,0.00021138525335118175
robot-held-out,Completely unseen robot,2000,Logistic regression,baseline,Baseline,108,0.25125212864257523,0.035424873848709584,0.35310155074156624,0.2570058966149595,0.05678003680497753,326.0,1.353268105282434,0.011280229009571485,0.00023652767898359647
robot-held-out,Completely unseen robot,2000,Logistic regression,context_10,+10 difficulty/reach,118,0.2758643632034032,0.09427401708968042,0.38555425198705073,0.243292148723104,0.07864640737966776,326.0,2.0271241793883976,0.02114423951328111,0.00022800367150921375
robot-held-out,Completely unseen robot,2000,Logistic regression,context_20,+20 geometry/state,128,0.3313909693275019,0.08022996395442493,0.39321820356671017,0.22893443556308868,0.07427051227657505,326.0,1.334884663088469,0.024627791664291483,0.00023064916119134674
robot-held-out,Completely unseen robot,2000,Logistic regression,context_22,+22 full context,130,0.31783022602568656,0.08286900020002151,0.4337247138276032,0.19825904156148344,0.10935499857716122,326.0,1.7587247077870822,0.0219591806671815,0.00023135749506764114
robot-held-out,Completely unseen robot,2000,MLP-24,baseline,Baseline,108,0.3085604096646146,0.06286159402918956,0.4232071520164495,0.2310079499423031,0.08861834671112837,326.0,2.450245767706845,0.17771248607702242,0.0002888192345077793
robot-held-out,Completely unseen robot,2000,MLP-24,context_10,+10 difficulty/reach,118,0.4503607328533474,0.08927255236301168,0.4732404978065276,0.29807828501728256,0.059862269630831785,326.0,1.2260575491310828,0.18192377767021148,0.0002910937425137187
robot-held-out,Completely unseen robot,2000,MLP-24,context_20,+20 geometry/state,128,0.4379998917821439,0.06905524133773996,0.4779648919681338,0.3058682208636325,0.050773945934147253,326.0,1.6043148195701822,0.21729472223766302,0.00029302091570571065
robot-held-out,Completely unseen robot,2000,MLP-24,context_22,+22 full context,130,0.4514384907786773,0.048730898178455745,0.47215489605128114,0.33088078386253533,0.05503789454433428,326.0,1.2126969100063534,0.19144338198627034,0.00032666325084088993
robot-held-out,Completely unseen robot,3000,Logistic regression,baseline,Baseline,108,0.24760927684803882,0.03766344369197306,0.35274459244149753,0.24411560829230838,0.0640268488589776,489.0,1.3658875749229573,0.016684631928607512,0.0002696529118111357
robot-held-out,Completely unseen robot,3000,Logistic regression,context_10,+10 difficulty/reach,118,0.26595864435322963,0.09722695012456814,0.3809410166474658,0.23659713931113566,0.08008954845098361,489.0,2.2714861389419996,0.03012670491201182,0.0002880799196039637
robot-held-out,Completely unseen robot,3000,Logistic regression,context_20,+20 geometry/state,128,0.254068825490818,0.1057537781828335,0.33396784510527094,0.1723320539108728,0.09446292695885362,489.0,1.669308604067971,0.035512361243794054,0.0002899756655097008
robot-held-out,Completely unseen robot,3000,Logistic regression,context_22,+22 full context,130,0.3165496392425599,0.08351021631591049,0.43627292814295915,0.19508623620813872,0.10886586057990753,489.0,2.102247435916684,0.03330970817963438,0.00028707315505016595
robot-held-out,Completely unseen robot,3000,MLP-24,baseline,Baseline,108,0.32566641193967694,0.06450327983916045,0.4145855421175533,0.2349527236723364,0.09531378883927359,489.0,2.5457698204170898,0.24895480551155438,0.0003620869053217272
robot-held-out,Completely unseen robot,3000,MLP-24,context_10,+10 difficulty/reach,118,0.46529441416569517,0.081485285052733,0.5027769134412373,0.33428225360548597,0.05932272886024789,489.0,1.1344579469876437,0.3091325209194717,0.00036515641841106117
robot-held-out,Completely unseen robot,3000,MLP-24,context_20,+20 geometry/state,128,0.3966774933421449,0.07753052708895679,0.4614379357919339,0.27568320864705753,0.08347242988159767,489.0,2.0784265846465293,0.27713707300426904,0.00035355575285696733
robot-held-out,Completely unseen robot,3000,MLP-24,context_22,+22 full context,130,0.4288240677391275,0.08417038789954176,0.4837849824484672,0.29502687573809916,0.08351314697514378,489.0,1.6098745790971094,0.2718439236632548,0.0003893229052967702
